customer_id,total_bill,tip,sex,smoker,day,time,size
75,26.86,3.14,Female,Yes,Sat,Dinner,2
76,25.28,5,Female,Yes,Sat,Dinner,2
77,14.73,2.2,Female,No,Sat,Dinner,2
78,10.51,1.25,Male,No,Sat,Dinner,2
79,17.92,3.08,Male,Yes,Sat,Dinner,2
80,27.2,4,Male,No,Thur,Lunch,4
81,22.76,3,Male,No,Thur,Lunch,2
82,17.29,2.71,Male,No,Thur,Lunch,2
83,19.44,3,Male,Yes,Thur,Lunch,2
84,16.66,3.4,Male,No,Thur,Lunch,2
85,10.07,1.83,Female,No,Thur,Lunch,1
86,32.68,5,Male,Yes,Thur,Lunch,2
87,27.1,,,No,Thur,Lunch,3
88,15.98,2.03,Male,No,Thur,Lunch,2
89,34.83,5.17,Female,No,Thur,Lunch,4
89,34.83,5.17,Female,No,Thur,Lunch,4
90,13.03,2,Male,No,Thur,Lunch,2
91,18.28,4,Male,No,Thur,Lunch,2
92,24.71,5.85,Male,No,Thur,Lunch,2
93,21.16,3,Male,No,Thur,Lunch,2
94,28.97,3,Male,Yes,Fri,Dinner,2
95,22.49,3.5,Male,No,Fri,Dinner,2
96,5.75,1,Female,Yes,Friday,Dinner,2
97,16.32,4.3,Female,Yes,friday,Dinner,2
98,22.75,3.25,Female,No,Fri,Dinner,2
99,40.17,4.73,Male,Yes,Fri,Dinner,4
100,27.28,4,Male,Yes,Fri,Dinner,2
101,12.03,1.5,Male,Yes,Friday,Dinner,2
102,21.01,3,Male,Yes,Fri,Dinner,2
103,12.46,1.5,Male,No,Fri,Dinner,2
104,11.35,2.5,Female,Yes,Fri,Dinner,2
105,15.38,3,Female,Yes,Friday,Dinner,2
106,44.3,2.5,Female,Yes,Sat,Dinner,3
107,22.42,3.48,Female,Yes,Sat,Dinner,2
108,20.92,4.08,Female,No,Sat,Dinner,2
109,48.68,,Female,Yes,Fri,Dinner,
110,15.36,1.64,Male,Yes,Sat,Dinner,2
111,20.49,4.06,Male,Yes,Sat,Dinner,2
112,25.21,4.29,Male,Yes,Sat,Dinner,2
113,18.24,3.76,Male,No,Sat,Dinner,2
114,14.31,4,Female,Yes,Sat,Dinner,2
115,14,3,Male,No,Sat,Dinner,2
116,7.25,1,Female,No,Saturday,Dinner,1
117,38.07,4,Male,No,Sun,Dinner,3
118,23.95,2.55,Male,No,Sun,Dinner,2
119,25.71,4,Female,No,Sun,Dinner,3
120,17.31,3.5,Female,No,Sun,Dinner,2
121,29.93,5.07,Male,No,Sun,Dinner,4
122,10.65,1.5,Female,No,Thur,Lunch,2
123,12.43,1.8,Female,No,Thur,Lunch,2
124,24.08,2.92,Female,No,Thur,Lunch,4
125,11.69,2.31,Male,No,Thur,Lunch,2
126,13.42,1.68,Female,No,Thur,Lunch,2
127,14.26,2.5,Male,No,Thur,Lunch,2
128,15.95,2,Male,No,Thur,Lunch,2
129,12.48,2.52,Female,No,Thur,Lunch,2
130,29.8,4.2,Female,No,Thur,Lunch,6
131,8.52,1.48,Male,No,Thur,Lunch,2
132,14.52,2,Female,No,Thur,Lunch,2
133,11.38,2,Female,No,Thur,Lunch,2
134,22.82,2.18,Male,No,Thur,Lunch,3
135,19.08,1.5,Male,No,Thur,Lunch,2
136,20.27,2.83,Female,No,Thur,Lunch,2
137,11.17,1.5,Female,No,Thur,Lunch,2
138,12.26,2,Female,No,Thur,Lunch,2
139,18.26,3.25,Female,No,Thur,Lunch,2
140,8.51,1.25,Female,No,Thur,Lunch,2
141,10.33,2,Female,No,Thur,Lunch,2
142,14.15,2,Female,No,Thur,Lunch,2
143,16,2,Male,Yes,Thur,Lunch,2
144,13.16,2.75,Female,No,Thur,Lunch,2
145,17.47,3.5,Female,No,Thur,Lunch,2
146,34.3,6.7,Male,No,Thur,Lunch,6
147,41.19,5,Male,No,Thur,Lunch,5
148,27.05,5,Female,No,Thur,Lunch,6
149,16.43,2.3,Female,No,Thur,Lunch,2
150,8.35,1.5,Female,No,Thur,Lunch,2
151,18.64,1.36,Female,No,Thur,Lunch,3
152,11.87,1.63,Female,No,Thur,Lunch,2
153,9.78,1.73,Male,No,Thur,Lunch,2
154,7.51,2,Male,No,Thur,Lunch,2
155,14.07,2.5,Male,No,Sun,Dinner,2
156,13.13,2,Male,No,Sun,Dinner,2
157,17.26,2.74,Female,No,Sun,Dinner,3
157,17.26,2.74,Male,No,Sun,Dinner,3
158,24.55,2,Male,No,Sun,Dinner,4
159,19.77,2,Male,No,Sun,Dinner,4
160,29.85,5.14,Female,No,Sun,Dinner,5
161,48.17,5,Male,No,Sun,Dinner,6
162,25,3.75,Female,No,Sun,Dinner,4
163,13.39,2.61,Female,No,Sun,Dinner,2
164,16.49,2,Male,No,Sun,Dinner,4
165,21.5,3.5,Male,No,Sun,Dinner,4
166,12.66,2.5,Male,No,Sun,Dinner,2
167,16.21,2,Female,No,Sun,Dinner,3
168,13.81,2,Male,No,Sun,Dinner,2
169,17.51,3,Female,Yes,Sun,Dinner,2
170,24.52,3.48,Male,No,Sun,Dinner,3
171,20.76,2.24,Male,No,Sun,Dinner,2
172,31.71,4.5,Male,No,Sun,Dinner,4
173,10.59,1.61,Female,Yes,Sat,Dinner,2
174,10.63,2,Female,Yes,Sat,Dinner,2
175,50.81,10,Male,Yes,Sat,Dinner,3
176,15.81,3.16,Male,Yes,Sat,Dinner,2
177,7.25,5.15,Male,Yes,Sun,Dinner,2
178,31.85,3.18,Male,Yes,Sun,Dinner,2
179,16.82,4,Male,Yes,Sun,Dinner,2
180,32.9,3.11,Male,Yes,Sun,Dinner,2
181,17.89,2,Male,Yes,Sun,Dinner,2
182,14.48,2,Male,Yes,Sun,Dinner,2
183,9.6,4,Female,Yes,Sun,Dinner,2
184,34.63,3.55,Male,Yes,Sun,Dinner,2
185,34.65,3.68,Male,Yes,Sun,Dinner,4
186,23.33,5.65,Male,Yes,Sun,Dinner,2
187,45.35,3.5,Male,Yes,Sun,Dinner,3
188,23.17,6.5,Male,Yes,Sun,Dinner,4
189,40.55,3,Male,Yes,Sun,Dinner,2
190,20.69,5,Male,No,Sun,Dinner,5
191,20.9,3.5,Female,Yes,Sun,Dinner,3
192,30.46,2,Male,Yes,Sun,Dinner,5
193,18.15,3.5,Female,Yes,Sun,Dinner,3
194,23.1,4,Male,Yes,Sun,Dinner,3
195,15.69,1.5,Male,Yes,Sun,Dinner,2
196,19.81,4.19,Female,Yes,Thur,Lunch,2
197,28.44,2.56,Male,Yes,Thur,Lunch,2
198,15.48,2.02,Male,Yes,Thur,Lunch,2
199,16.58,4,Male,Yes,Thur,Lunch,2
200,7.56,1.44,Male,No,Thur,Lunch,2
201,10.34,2,Male,Yes,Thur,Lunch,2
202,43.11,5,Female,Yes,Thur,Lunch,4
203,13,2,Female,Yes,Thur,Lunch,2
204,13.51,2,Male,Yes,Thur,Lunch,2
205,18.71,4,Male,Yes,Thur,Lunch,3
206,12.74,2.01,Female,Yes,Thur,Lunch,2
207,13,2,Female,Yes,Thur,Lunch,2
208,16.4,2.5,Female,Yes,Thur,Lunch,2
209,20.53,4,Male,Yes,Thur,Lunch,4
210,16.47,3.23,Female,Yes,Thur,Lunch,3
211,26.59,3.41,Male,Yes,Sat,Dinner,3
212,38.73,3,Male,Yes,Sat,Dinner,4
213,24.27,2.03,Male,Yes,Sat,Dinner,2
214,12.76,2.23,Female,Yes,Sat,Dinner,2
215,30.06,2,Male,Yes,Sat,Dinner,3
216,25.89,5.16,Male,Yes,Sat,Dinner,4
217,48.33,9,Male,No,Sat,Dinner,4
218,13.27,2.5,Female,Yes,Sat,Dinner,2
219,28.17,6.5,Female,Yes,Sat,Dinner,3
220,12.9,1.1,Female,Yes,Sat,Dinner,2
221,28.15,3,Male,Yes,Sat,Dinner,5
222,11.59,1.5,Male,Yes,Sat,Dinner,2
223,7.74,1.44,Male,Yes,Sat,Dinner,2
224,30.14,3.09,Female,Yes,Sat,Dinner,4
225,12.16,2.2,Male,Yes,Fri,Lunch,2
226,13.42,3.48,Female,Yes,Fri,Lunch,2
227,8.58,1.92,Male,Yes,Friday,Lunch,1
228,15.98,3,Female,No,Friday,Lunch,3
229,13.42,1.58,Male,Yes,Fri,Lunch,2
230,16.27,2.5,Female,Yes,Fri,Lunch,2
231,10.09,2,Female,Yes,Fri,Lunch,2
232,20.45,3,Male,No,Sat,Dinner,4
233,13.28,2.72,Male,No,Sat,Dinner,2
234,22.12,2.88,Female,Yes,Sat,Dinner,2
235,24.01,2,Male,Yes,Sat,Dinner,4
236,15.69,3,Male,Yes,Sat,Dinner,3
237,11.61,3.39,Male,No,Sat,Dinner,2
238,10.77,1.47,Male,No,Sat,Dinner,2
239,15.53,3,Male,Yes,Sat,Dinner,2
240,10.07,1.25,Male,No,Sat,Dinner,2
241,12.6,1,Male,Yes,Sat,Dinner,2
242,32.83,1.17,Male,Yes,Sat,Dinner,2
243,35.83,4.67,Female,No,Sat,Dinner,3
244,29.03,5.92,Male,No,Sat,Dinner,3
245,27.18,2,Female,Yes,Sat,Dinner,2
246,22.67,2,Male,Yes,Sat,Dinner,2
247,17.82,1.75,Male,No,Sat,Dinner,2
248,18.78,3,Female,No,Thur,Dinner,2
